time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1614384000000000000,4.0,1.8,86.0,0.6,,44.0,15.1,24.1,1032.7,,7.0
1614387600000000000,3.8,1.2,83.0,0.0,,44.0,11.5,24.1,1032.8,,7.0
1614391200000000000,3.8,1.5,84.0,0.0,,360.0,5.4,22.2,1033.1,,7.0
1614394800000000000,3.4,1.6,88.0,0.0,,318.0,4.3,18.5,1033.6,,4.0
1614398400000000000,3.6,1.8,88.0,0.0,,338.0,4.3,14.8,1034.3,,4.0
1614402000000000000,3.0,1.5,89.0,0.0,,336.0,4.3,14.8,1034.8,,4.0
1614405600000000000,1.6,0.2,91.0,0.0,,326.0,4.7,14.8,1035.4,,4.0
1614409200000000000,2.8,1.0,87.0,0.0,,312.0,5.4,14.8,1036.0,,4.0
1614412800000000000,4.4,1.0,78.0,0.0,,331.0,8.3,13.0,1036.5,,4.0
1614416400000000000,5.6,0.5,69.0,0.0,,336.0,7.6,14.8,1036.6,,3.0
1614420000000000000,7.0,-0.4,59.0,0.0,,334.0,6.8,13.0,1036.5,,3.0
1614423600000000000,8.2,-1.6,50.0,0.0,,328.0,6.8,14.8,1036.4,,3.0
1614427200000000000,9.0,-2.8,43.0,0.0,,320.0,6.8,16.7,1035.8,,3.0
1614430800000000000,9.4,-3.2,41.0,0.0,,317.0,7.2,16.7,1035.2,,2.0
1614434400000000000,9.0,-2.4,44.0,0.0,,330.0,6.1,16.7,1035.5,,2.0
1614438000000000000,8.5,-2.4,46.0,0.0,,352.0,5.8,14.8,1035.4,,2.0
1614441600000000000,6.8,-0.8,58.0,0.0,,40.0,5.4,11.1,1036.0,,2.0
1614445200000000000,4.2,-1.2,67.0,0.0,,55.0,9.4,11.1,1036.8,,2.0
1614448800000000000,2.8,-0.8,77.0,0.0,,60.0,9.4,13.0,1037.6,,2.0
1614452400000000000,2.2,-1.0,80.0,0.0,,62.0,10.4,13.0,1037.8,,2.0
1614456000000000000,1.8,-1.0,81.0,0.0,,62.0,11.2,14.8,1038.0,,2.0
1614459600000000000,1.6,-0.8,84.0,0.0,,64.0,11.9,16.7,1038.4,,2.0
1614463200000000000,0.6,-1.0,89.0,0.0,,81.0,10.8,14.8,1038.8,,2.0
1614466800000000000,0.4,-1.0,91.0,0.0,,90.0,10.8,16.7,1039.2,,2.0
1614470400000000000,0.8,-0.1,93.0,0.0,,91.0,11.2,16.7,1039.4,,2.0
1614474000000000000,0.8,0.1,94.0,0.0,,92.0,10.8,18.5,1039.2,,2.0
1614477600000000000,0.8,-0.2,92.0,0.0,,90.0,10.4,16.7,1038.9,,2.0
1614481200000000000,0.6,-0.8,91.0,0.0,,89.0,10.4,16.7,1038.7,,2.0
1614484800000000000,0.4,-1.2,89.0,0.0,,86.0,10.4,14.8,1038.7,,2.0
1614488400000000000,-0.1,-1.7,89.0,0.0,,84.0,10.8,14.8,1038.6,,1.0
1614492000000000000,-0.6,-2.3,88.0,0.0,,85.0,11.5,14.8,1038.4,,1.0
1614495600000000000,0.4,-2.0,84.0,0.0,,90.0,11.5,16.7,1038.6,,1.0
1614499200000000000,1.6,-3.0,71.0,0.0,,94.0,11.5,14.8,1038.4,,1.0
1614502800000000000,3.4,-3.2,62.0,0.0,,99.0,9.4,16.7,1037.8,,1.0
1614506400000000000,5.4,-3.4,53.0,0.0,,89.0,8.6,14.8,1037.1,,1.0
1614510000000000000,7.0,-3.8,46.0,0.0,,83.0,8.6,16.7,1036.4,,1.0
1614513600000000000,8.4,-4.4,40.0,0.0,,81.0,8.6,18.5,1035.3,,1.0
1614517200000000000,9.2,-4.6,37.0,0.0,,80.0,8.6,18.5,1034.2,,1.0
1614520800000000000,9.6,-4.6,36.0,0.0,,77.0,9.4,16.7,1033.5,,1.0
1614524400000000000,9.2,-4.2,38.0,0.0,,73.0,10.4,16.7,1033.1,,1.0
1614528000000000000,7.6,-3.2,46.0,0.0,,70.0,9.4,14.8,1033.2,,1.0
1614531600000000000,4.8,-3.4,55.0,0.0,,74.0,11.2,16.7,1033.9,,1.0
1614535200000000000,3.6,-2.3,65.0,0.0,,76.0,11.2,16.7,1034.2,,1.0
1614538800000000000,2.8,-2.2,70.0,0.0,,81.0,11.2,16.7,1034.3,,1.0
1614542400000000000,2.4,-2.0,73.0,0.0,,80.0,10.4,16.7,1034.3,,1.0
1614546000000000000,1.8,-2.0,76.0,0.0,,78.0,10.4,16.7,1034.4,,1.0
1614549600000000000,1.6,-2.2,76.0,0.0,,78.0,10.1,14.8,1034.5,,1.0
1614553200000000000,1.2,-1.7,80.0,0.0,,85.0,9.7,14.8,1034.2,,1.0
1614556800000000000,0.8,-2.0,81.0,0.0,,75.0,10.4,14.8,1034.2,,1.0
1614560400000000000,0.8,-2.3,79.0,0.0,,73.0,10.8,13.0,1034.1,,1.0
1614564000000000000,1.0,-2.7,76.0,0.0,,72.0,11.9,14.8,1034.0,,1.0
1614567600000000000,1.2,-2.4,76.0,0.0,,72.0,12.2,14.8,1033.7,,1.0
1614571200000000000,0.8,-1.8,82.0,0.0,,75.0,11.2,16.7,1033.5,,1.0
1614574800000000000,0.5,-1.7,85.0,0.0,,82.0,11.2,16.7,1033.7,,1.0
1614578400000000000,0.5,-1.4,87.0,0.0,,83.0,12.2,14.8,1034.4,,1.0
1614582000000000000,2.8,-0.4,79.0,0.0,,83.0,14.0,14.8,1035.0,,1.0
1614585600000000000,5.1,0.8,73.0,0.0,,87.0,12.6,14.8,1035.2,,1.0
1614589200000000000,7.2,0.8,64.0,0.0,,99.0,11.9,14.8,1034.9,,1.0
1614592800000000000,8.8,0.8,57.0,0.0,,100.0,11.5,13.0,1034.4,,1.0
1614596400000000000,10.2,0.6,51.0,0.0,,93.0,11.5,16.7,1033.8,,1.0
1614600000000000000,11.2,0.6,48.0,0.0,,86.0,12.2,18.5,1032.9,,1.0
1614603600000000000,11.5,0.6,47.0,0.0,,83.0,13.3,20.4,1032.4,,1.0
1614607200000000000,11.2,1.2,50.0,0.0,,80.0,14.4,22.2,1032.4,,1.0
1614610800000000000,10.0,1.4,55.0,0.0,,77.0,14.8,22.2,1032.4,,1.0
1614614400000000000,8.6,1.8,62.0,0.0,,72.0,14.4,22.2,1032.5,,1.0
1614618000000000000,6.2,1.8,73.0,0.0,,71.0,15.8,24.1,1033.1,,1.0
1614621600000000000,5.4,1.6,77.0,0.0,,76.0,16.6,25.9,1033.6,,1.0
1614625200000000000,4.8,1.8,80.0,0.0,,80.0,16.9,24.1,1033.8,,1.0
1614628800000000000,4.4,1.8,83.0,0.0,,83.0,16.9,24.1,1033.9,,1.0
1614632400000000000,4.0,2.0,86.0,0.0,,86.0,16.6,20.4,1034.2,,1.0
1614636000000000000,3.8,2.0,87.0,0.0,,85.0,16.9,18.5,1034.1,,1.0
1614639600000000000,3.6,1.6,86.0,0.0,,83.0,16.6,18.5,1034.0,,1.0
1614643200000000000,2.8,0.2,83.0,0.0,,87.0,15.8,18.5,1034.0,,1.0
1614646800000000000,2.6,-0.3,81.0,0.0,,87.0,15.5,16.7,1033.9,,1.0
1614650400000000000,2.4,-1.2,77.0,0.0,,88.0,14.4,14.8,1033.3,,1.0
1614654000000000000,2.2,-1.7,75.0,0.0,,91.0,13.0,14.8,1033.0,,1.0
1614657600000000000,2.0,-2.2,73.0,0.0,,87.0,13.0,16.7,1032.9,,1.0
1614661200000000000,2.2,-2.8,70.0,0.0,,83.0,13.0,14.8,1032.8,,1.0
1614664800000000000,2.2,-2.8,69.0,0.0,,82.0,11.9,13.0,1032.7,,1.0
1614668400000000000,4.4,-2.0,63.0,0.0,,87.0,11.2,13.0,1033.1,,1.0
1614672000000000000,7.8,-1.4,52.0,0.0,,97.0,9.0,11.1,1033.3,,1.0
1614675600000000000,10.2,-1.2,45.0,0.0,,110.0,7.9,11.1,1033.3,,1.0
1614679200000000000,11.8,-0.6,42.0,0.0,,122.0,6.8,11.1,1033.3,,1.0
1614682800000000000,13.0,0.2,41.0,0.0,,130.0,5.8,13.0,1032.8,,1.0
1614686400000000000,14.0,0.6,40.0,0.0,,136.0,4.7,11.1,1031.9,,1.0
1614690000000000000,14.6,1.2,40.0,0.0,,148.0,4.0,13.0,1031.1,,1.0
1614693600000000000,14.6,1.6,41.0,0.0,,162.0,3.6,13.0,1030.9,,1.0
1614697200000000000,14.0,2.7,46.0,0.0,,182.0,3.6,11.1,1031.0,,1.0
1614700800000000000,10.8,5.0,67.0,0.0,,179.0,4.0,11.1,1031.9,,1.0
1614704400000000000,7.0,3.4,78.0,0.0,,154.0,5.8,11.1,1032.7,,1.0
1614708000000000000,6.0,2.8,80.0,0.0,,121.0,7.9,11.1,1033.3,,1.0
1614711600000000000,5.1,2.4,82.0,0.0,,103.0,9.0,11.1,1033.6,,1.0
1614715200000000000,4.4,2.0,85.0,0.0,,99.0,8.6,11.1,1033.7,,1.0
1614718800000000000,3.6,1.8,88.0,0.0,,92.0,7.6,11.1,1033.8,,1.0
1614722400000000000,2.8,1.2,90.0,0.0,,82.0,6.5,11.1,1033.6,,1.0
1614726000000000000,2.4,0.8,89.0,0.0,,77.0,5.4,9.3,1033.0,,1.0
1614729600000000000,2.2,0.2,86.0,0.0,,77.0,4.7,9.3,1032.7,,1.0
1614733200000000000,3.2,0.4,81.0,0.0,,81.0,4.3,9.3,1032.7,,1.0
1614736800000000000,2.8,-0.2,80.0,0.0,,90.0,4.0,9.3,1032.3,,1.0
1614740400000000000,5.0,0.2,71.0,0.0,,97.0,2.5,9.3,1032.1,,1.0
1614744000000000000,5.4,0.4,70.0,0.0,,99.0,1.8,7.4,1032.1,,1.0
1614747600000000000,4.8,0.2,72.0,0.0,,106.0,1.4,9.3,1032.2,,1.0
1614751200000000000,3.4,-0.1,77.0,0.0,,304.0,4.0,9.3,1032.4,,1.0
1614754800000000000,4.2,1.4,81.0,0.0,,338.0,2.2,11.1,1032.7,,1.0
1614758400000000000,6.6,2.4,75.0,0.0,,285.0,2.5,13.0,1032.6,,1.0
1614762000000000000,8.8,2.4,64.0,0.0,,273.0,5.8,13.0,1032.1,,1.0
1614765600000000000,10.2,2.4,58.0,0.0,,275.0,7.9,14.8,1031.8,,1.0
1614769200000000000,11.6,2.4,53.0,0.0,,275.0,8.6,16.7,1031.1,,1.0
1614772800000000000,12.5,2.2,49.0,0.0,,271.0,9.0,16.7,1030.1,,1.0
1614776400000000000,12.8,2.2,48.0,0.0,,269.0,9.4,16.7,1029.1,,1.0
1614780000000000000,12.8,2.2,48.0,0.0,,273.0,10.1,18.5,1028.5,,1.0
1614783600000000000,12.2,2.8,52.0,0.0,,278.0,9.7,16.7,1028.1,,1.0
1614787200000000000,10.5,4.2,65.0,0.0,,279.0,5.4,16.7,1027.7,,1.0
1614790800000000000,8.6,3.2,69.0,0.0,,316.0,6.5,13.0,1027.7,,1.0
1614794400000000000,8.2,2.8,68.0,0.0,,0.0,4.7,11.1,1027.6,,1.0
1614798000000000000,8.2,2.2,66.0,0.0,,11.0,4.0,11.1,1027.3,,1.0
1614801600000000000,8.4,1.8,63.0,0.0,,11.0,4.0,9.3,1026.8,,1.0
1614805200000000000,8.6,1.6,61.0,0.0,,10.0,4.0,9.3,1026.3,,1.0
1614808800000000000,9.0,1.2,58.0,0.0,,323.0,4.7,7.4,1025.8,,1.0
1614812400000000000,8.6,1.2,60.0,0.0,,262.0,5.0,9.3,1025.1,,1.0
1614816000000000000,7.6,1.4,64.0,0.0,,263.0,4.7,9.3,1024.6,,1.0
1614819600000000000,6.1,1.8,74.0,0.0,,296.0,6.1,9.3,1025.0,,1.0
1614823200000000000,5.4,1.6,76.0,0.0,,256.0,5.4,9.3,1024.2,,1.0
1614826800000000000,4.2,1.4,81.0,0.0,,252.0,5.0,11.1,1023.8,,2.0
1614830400000000000,2.2,0.6,89.0,0.0,,236.0,4.0,7.4,1023.6,,2.0
1614834000000000000,2.0,0.5,90.0,0.0,,244.0,4.3,9.3,1023.3,,4.0
1614837600000000000,2.0,0.6,90.0,0.0,,264.0,5.4,11.1,1023.5,,4.0
1614841200000000000,3.2,1.0,86.0,0.0,,297.0,5.0,13.0,1023.7,,4.0
1614844800000000000,4.8,2.0,82.0,0.0,,275.0,5.0,11.1,1023.5,,4.0
1614848400000000000,5.8,2.2,77.0,0.0,,268.0,6.5,11.1,1022.9,,4.0
1614852000000000000,7.2,2.6,72.0,0.0,,258.0,5.8,11.1,1022.2,,4.0
1614855600000000000,8.2,2.8,69.0,0.0,,251.0,7.6,13.0,1021.5,,4.0
1614859200000000000,9.0,2.6,64.0,0.0,,247.0,7.2,13.0,1020.3,,4.0
1614862800000000000,10.0,2.0,57.0,0.0,,243.0,9.0,13.0,1018.7,,4.0
1614866400000000000,10.4,1.8,55.0,0.0,,250.0,8.6,14.8,1017.7,,4.0
1614870000000000000,10.6,2.0,55.0,0.0,,234.0,5.0,16.7,1016.7,,4.0
1614873600000000000,9.5,4.2,70.0,0.0,,309.0,2.2,16.7,1016.0,,3.0
1614877200000000000,7.0,2.8,74.0,0.0,,341.0,6.5,14.8,1015.9,,3.0
1614880800000000000,7.2,2.8,73.0,0.0,,270.0,6.8,13.0,1016.0,,4.0
1614884400000000000,7.8,2.2,68.0,0.0,,260.0,8.6,14.8,1015.3,,4.0
1614888000000000000,7.4,2.4,70.0,0.0,,272.0,13.3,16.7,1016.0,,4.0
1614891600000000000,6.0,3.8,85.0,0.0,,268.0,9.4,18.5,1016.4,,4.0
1614895200000000000,5.0,4.2,94.0,0.0,,255.0,10.8,18.5,1016.6,,4.0
1614898800000000000,5.4,5.0,97.0,0.0,,266.0,12.2,20.4,1016.4,,7.0
1614902400000000000,5.4,5.0,97.0,0.0,,268.0,11.9,22.2,1016.3,,7.0
1614906000000000000,5.4,5.0,97.0,0.4,,261.0,13.3,24.1,1016.0,,7.0
1614909600000000000,4.6,4.2,97.0,4.1,,250.0,13.3,25.9,1015.7,,7.0
1614913200000000000,4.4,4.2,99.0,1.9,,258.0,16.2,29.6,1015.7,,7.0
1614916800000000000,4.0,4.0,99.0,0.2,,267.0,15.5,29.6,1015.9,,7.0
1614920400000000000,3.6,3.6,100.0,0.8,,290.0,15.1,27.8,1016.5,,7.0
1614924000000000000,3.0,3.0,99.0,1.6,,318.0,11.5,27.8,1017.0,,7.0
1614927600000000000,2.4,2.4,100.0,0.5,,7.0,7.9,27.8,1018.1,,7.0
