time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1684569600000000000,18.0,11.9,67.0,0.0,,113.0,24.5,33.3,1018.1,,3.0
1684573200000000000,19.4,12.0,62.0,0.0,,113.0,24.8,38.9,1017.4,,3.0
1684576800000000000,20.0,11.9,59.0,0.0,,116.0,25.6,42.6,1017.4,,3.0
1684580400000000000,20.8,11.8,56.0,0.0,,115.0,24.1,42.6,1017.0,,3.0
1684584000000000000,21.2,10.8,51.0,0.0,,116.0,24.1,44.5,1016.6,,3.0
1684587600000000000,21.8,10.6,49.0,0.0,,117.0,24.8,42.6,1016.2,,3.0
1684591200000000000,21.7,10.6,49.0,0.0,,113.0,24.1,42.6,1015.7,,3.0
1684594800000000000,21.7,10.6,49.0,0.0,,109.0,24.5,42.6,1015.2,,2.0
1684598400000000000,20.8,10.8,52.0,0.0,,106.0,22.0,42.6,1015.0,,3.0
1684602000000000000,19.8,12.8,64.0,0.0,,99.0,22.0,40.8,1015.2,,3.0
1684605600000000000,18.4,12.8,70.0,0.0,,99.0,21.2,40.8,1015.9,,2.0
1684609200000000000,17.2,12.5,73.0,0.0,,99.0,21.6,38.9,1016.7,,3.0
1684612800000000000,16.6,12.2,75.0,0.0,,101.0,21.6,37.0,1017.2,,3.0
1684616400000000000,16.2,12.2,77.0,0.0,,102.0,20.9,35.2,1017.4,,3.0
1684620000000000000,15.8,11.9,77.0,0.0,,102.0,20.9,33.3,1017.1,,3.0
1684623600000000000,15.0,11.6,80.0,0.0,,100.0,19.8,31.5,1016.9,,3.0
1684627200000000000,14.8,11.2,79.0,0.0,,102.0,19.4,29.6,1016.5,,3.0
1684630800000000000,14.4,10.6,78.0,0.0,,100.0,18.7,27.8,1016.2,,3.0
1684634400000000000,14.4,10.5,77.0,0.0,,98.0,18.4,25.9,1016.0,,3.0
1684638000000000000,14.2,10.5,78.0,0.0,,95.0,18.0,25.9,1015.9,,3.0
1684641600000000000,14.4,10.6,78.0,0.0,,97.0,19.1,24.1,1015.7,,2.0
1684645200000000000,15.6,11.5,76.0,0.0,,99.0,19.8,25.9,1015.7,,1.0
1684648800000000000,17.4,12.6,73.0,0.0,,96.0,17.6,25.9,1015.9,,2.0
1684652400000000000,19.0,12.6,66.0,0.0,,106.0,19.4,29.6,1015.7,,1.0
1684656000000000000,20.4,11.9,58.0,0.0,,114.0,20.5,33.3,1015.6,,1.0
1684659600000000000,22.0,11.2,50.0,0.0,,119.0,19.8,37.0,1015.3,,2.0
1684663200000000000,22.6,10.5,46.0,0.0,,121.0,20.9,40.8,1015.2,,1.0
1684666800000000000,22.8,10.0,44.0,0.0,,119.0,21.6,40.8,1015.1,,2.0
1684670400000000000,22.7,10.6,46.0,0.0,,117.0,20.9,40.8,1014.9,,2.0
1684674000000000000,23.0,10.5,45.0,0.0,,117.0,20.2,38.9,1014.6,,2.0
1684677600000000000,23.0,10.9,46.0,0.0,,112.0,18.7,38.9,1014.3,,2.0
1684681200000000000,22.8,10.8,46.0,0.0,,109.0,18.4,37.0,1014.1,,1.0
1684684800000000000,22.4,11.2,49.0,0.0,,101.0,16.9,37.0,1013.9,,1.0
