time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1684400400000000000,8.2,-0.2,56.0,0.0,,37.0,9.3,16.7,1030.1,,4.0
1684404000000000000,9.7,0.7,54.0,0.0,,40.0,9.3,18.5,1030.0,,2.0
1684407600000000000,10.3,0.7,52.0,0.0,,36.0,9.3,20.4,1029.7,,3.0
1684411200000000000,11.2,0.7,49.0,0.0,,38.0,11.1,22.2,1029.3,,2.0
1684414800000000000,11.6,0.8,48.0,0.0,,38.0,11.1,24.1,1029.0,,2.0
1684418400000000000,12.1,1.0,47.0,0.0,,39.0,13.0,24.1,1028.8,,2.0
1684422000000000000,12.6,1.1,46.0,0.0,,39.0,13.0,24.1,1028.4,,2.0
1684425600000000000,12.7,1.2,46.0,0.0,,42.0,13.0,24.1,1028.3,,1.0
1684429200000000000,11.9,1.9,51.0,0.0,,44.0,13.0,22.2,1028.1,,1.0
1684432800000000000,10.8,2.5,57.0,0.0,,45.0,11.1,20.4,1028.1,,1.0
1684436400000000000,9.4,2.6,63.0,0.0,,46.0,9.3,18.5,1028.3,,1.0
1684440000000000000,8.2,2.8,69.0,0.0,,46.0,7.4,16.7,1028.6,,1.0
1684443600000000000,6.6,2.8,77.0,0.0,,46.0,7.4,13.0,1028.8,,1.0
1684447200000000000,5.4,2.2,80.0,0.0,,54.0,5.5,11.1,1028.7,,2.0
1684450800000000000,4.7,2.2,84.0,0.0,,53.0,5.5,9.3,1028.8,,2.0
1684454400000000000,4.1,1.9,86.0,0.0,,48.0,5.5,9.3,1028.7,,2.0
1684458000000000000,3.4,1.7,89.0,0.0,,53.0,5.5,9.3,1028.6,,3.0
1684461600000000000,3.0,1.5,90.0,0.0,,50.0,5.5,9.3,1028.5,,3.0
1684465200000000000,2.8,1.5,91.0,0.0,,48.0,5.5,9.3,1028.4,,4.0
1684468800000000000,3.4,1.7,89.0,0.0,,48.0,5.5,9.3,1028.3,,4.0
1684472400000000000,4.5,2.3,86.0,0.0,,55.0,7.4,11.1,1028.3,,4.0
1684476000000000000,6.4,3.0,79.0,0.0,,62.0,7.4,13.0,1028.4,,3.0
1684479600000000000,8.4,3.8,73.0,0.0,,72.0,9.3,16.7,1028.4,,3.0
1684483200000000000,10.4,4.0,65.0,0.0,,74.0,11.1,18.5,1028.4,,3.0
1684486800000000000,11.8,3.7,58.0,0.0,,77.0,13.0,24.1,1028.1,,2.0
1684490400000000000,14.1,3.1,48.0,0.0,,80.0,14.8,25.9,1027.4,,2.0
1684494000000000000,14.9,2.9,45.0,0.0,,82.0,14.8,29.6,1026.9,,2.0
1684497600000000000,15.6,2.5,42.0,0.0,,85.0,16.7,29.6,1026.4,,3.0
1684501200000000000,15.9,2.5,41.0,0.0,,86.0,16.7,31.5,1026.1,,3.0
