time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1614384000000000000,7.4,1.9,68.0,0.0,,148.0,12.6,,1024.8,,
1614387600000000000,7.1,2.8,74.0,0.0,,149.0,10.1,,1024.4,,
1614391200000000000,7.1,2.6,73.0,0.0,,146.0,10.1,,1023.6,,
1614394800000000000,6.9,2.2,72.0,0.0,,145.0,9.7,,1023.0,,
1614398400000000000,6.9,2.0,71.0,0.0,,149.0,9.4,,1022.9,,
1614402000000000000,5.4,5.4,100.0,0.0,,150.0,8.3,,1023.0,,5.0
1614405600000000000,5.8,5.8,100.0,0.0,,180.0,5.4,,1024.4,,5.0
1614409200000000000,3.4,3.4,100.0,0.0,,134.0,2.9,,1023.8,,
1614412800000000000,3.4,3.4,100.0,0.0,,290.0,1.4,,1024.3,,
1614416400000000000,6.2,5.5,95.0,0.0,,360.0,5.4,,1025.0,,
1614420000000000000,9.4,2.5,62.0,0.0,,335.0,8.6,,1024.9,,
1614423600000000000,12.4,-2.6,35.0,0.0,,333.0,10.8,,1024.8,,
1614427200000000000,12.8,-1.5,37.0,0.0,,360.0,22.3,,1024.0,,
1614430800000000000,12.4,0.5,44.0,0.0,,317.0,14.4,,1024.2,,
1614434400000000000,13.4,1.4,44.0,0.0,,318.0,12.2,,1023.6,,
1614438000000000000,12.8,2.1,48.0,0.0,,360.0,18.4,,1023.5,,
1614441600000000000,12.4,2.3,50.0,0.0,,35.0,6.5,,1023.9,,
1614445200000000000,12.4,3.4,54.0,0.0,,45.0,7.6,,1024.6,,
1614448800000000000,11.8,3.3,56.0,0.0,,360.0,7.6,,1024.5,,
1614452400000000000,8.6,3.0,68.0,0.0,,99.0,10.8,,1025.9,,
1614456000000000000,8.3,1.9,64.0,0.0,,103.0,10.4,,1026.6,,
1614459600000000000,7.7,0.7,61.0,0.0,,107.0,11.2,,1027.5,,
1614463200000000000,8.5,-0.3,54.0,0.0,,81.0,4.3,,1028.3,,
1614466800000000000,4.9,0.9,75.0,0.0,,263.0,1.4,,1029.0,,
1614470400000000000,4.3,1.2,80.0,0.0,,285.0,0.7,,1029.4,,
1614474000000000000,4.0,-0.2,74.0,0.0,,258.0,0.7,,1029.5,,
1614477600000000000,3.6,-0.4,75.0,0.0,,313.0,0.7,,1029.8,,
1614481200000000000,3.7,-0.3,75.0,0.0,,307.0,2.5,,1029.8,,
1614484800000000000,3.1,-0.4,78.0,0.0,,292.0,5.0,,1030.4,,
1614488400000000000,2.4,-0.5,81.0,0.0,,287.0,6.1,,1031.1,,
1614492000000000000,1.7,-0.7,84.0,0.0,,287.0,7.6,,1031.7,,
1614495600000000000,2.1,-0.3,84.0,0.0,,292.0,9.4,,1032.9,,
1614499200000000000,4.1,0.4,77.0,0.0,,302.0,11.9,,1033.5,,
1614502800000000000,5.8,1.2,72.0,0.0,,315.0,14.8,,1033.6,,
1614506400000000000,9.1,1.5,59.0,0.0,,324.0,15.1,,1033.0,,
1614510000000000000,10.3,1.4,54.0,0.0,,330.0,17.3,,1032.8,,
1614513600000000000,11.0,1.0,50.0,0.0,,336.0,17.6,,1032.0,,
1614517200000000000,11.3,0.4,47.0,0.0,,345.0,18.0,,1031.1,,
1614520800000000000,11.2,0.6,48.0,0.0,,352.0,17.3,,1030.8,,
1614524400000000000,10.5,0.8,51.0,0.0,,353.0,16.2,,1030.5,,
1614528000000000000,9.2,1.1,57.0,0.0,,345.0,14.0,,1030.5,,
