time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1684569600000000000,12.4,11.5,94.0,0.9,,352.0,14.4,,1014.0,,8.0
1684573200000000000,12.4,11.5,94.0,0.6,,345.0,14.8,,1014.0,,8.0
1684576800000000000,13.4,11.5,88.0,0.0,,352.0,16.6,,1014.0,,3.0
1684580400000000000,13.4,12.5,94.0,0.0,,4.0,18.4,,1013.0,,3.0
1684584000000000000,13.4,12.5,94.0,0.0,,359.0,19.1,,1013.0,,3.0
1684587600000000000,13.4,12.5,94.0,0.0,,2.0,19.4,,1013.0,,3.0
1684591200000000000,13.4,12.5,94.0,0.4,,338.0,19.1,,1013.0,,8.0
1684594800000000000,13.4,12.5,94.0,0.3,,342.0,18.4,,1013.0,,8.0
1684598400000000000,13.4,12.5,94.0,0.0,,332.0,18.4,,1013.0,,3.0
1684602000000000000,13.4,12.5,94.0,0.0,,342.0,19.4,,1013.0,,5.0
1684605600000000000,13.5,12.6,94.0,0.0,,341.0,18.4,,1013.0,,5.0
1684609200000000000,13.0,12.2,95.0,0.0,,334.0,17.3,,1013.2,,5.0
1684612800000000000,12.8,12.0,95.0,0.0,,332.0,15.8,,1013.6,,5.0
1684616400000000000,12.6,11.7,94.0,0.0,,326.0,15.5,,1013.9,,5.0
1684620000000000000,12.3,11.5,95.0,0.0,,318.0,15.1,,1013.7,,5.0
1684623600000000000,12.2,11.4,95.0,0.0,,324.0,16.2,,1013.4,,5.0
1684627200000000000,12.4,11.9,97.0,0.0,,334.0,13.3,,1013.3,,5.0
1684630800000000000,12.4,11.8,96.0,0.0,,339.0,13.7,,1012.8,,5.0
1684634400000000000,12.3,11.7,96.0,0.0,,329.0,14.4,,1012.5,,5.0
1684638000000000000,12.1,11.5,96.0,0.0,,322.0,14.0,,1012.8,,5.0
1684641600000000000,12.0,11.2,95.0,0.0,,317.0,13.7,,1012.9,,5.0
1684645200000000000,12.1,11.5,96.0,0.0,,322.0,14.4,,1013.2,,5.0
1684648800000000000,12.7,12.1,96.0,0.0,,323.0,15.5,,1013.4,,5.0
1684652400000000000,13.4,12.6,95.0,0.0,,322.0,16.9,,1013.4,,5.0
1684656000000000000,14.5,13.2,92.0,0.0,,320.0,18.7,,1013.7,,5.0
1684659600000000000,15.3,13.7,90.0,0.0,,322.0,20.5,,1013.7,,5.0
1684663200000000000,17.1,13.8,81.0,0.2,,334.0,22.3,,1013.6,,7.0
1684666800000000000,18.0,13.7,76.0,0.0,,336.0,17.3,,1013.7,,3.0
1684670400000000000,18.2,13.3,73.0,1.2,,335.0,18.4,,1013.4,,9.0
1684674000000000000,18.7,14.2,75.0,4.0,,338.0,20.5,,1013.0,,18.0
