time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1684569600000000000,15.4,6.3,55.0,0.0,,60.0,19.0,25.9,1017.0,,4.0
1684573200000000000,18.4,8.5,53.0,0.0,,40.0,15.0,27.8,1016.0,,4.0
1684576800000000000,18.4,7.4,49.0,0.0,,40.0,22.0,31.5,1016.0,,4.0
1684580400000000000,19.4,8.3,49.0,0.0,,40.0,19.0,33.3,1016.0,,4.0
1684584000000000000,19.4,9.5,53.0,0.0,,40.0,20.0,35.2,1015.0,,4.0
1684587600000000000,19.4,8.3,49.0,0.1,,40.0,19.0,35.2,1015.0,,4.0
1684591200000000000,19.4,8.3,49.0,0.0,,40.0,17.0,35.2,1014.0,,4.0
1684594800000000000,20.4,10.4,53.0,0.0,,30.0,17.0,37.0,1014.0,,4.0
1684598400000000000,19.4,9.5,53.0,0.0,,30.0,19.0,33.3,1014.0,,4.0
1684602000000000000,19.4,9.5,53.0,0.0,,30.0,17.0,31.5,1014.0,,4.0
1684605600000000000,19.4,9.5,53.0,0.0,,50.0,15.0,27.8,1014.0,,4.0
1684609200000000000,16.4,10.4,68.0,0.0,,40.0,11.0,22.2,1015.0,,4.0
1684612800000000000,15.4,9.5,68.0,0.0,,20.0,11.0,20.4,1015.0,,4.0
1684616400000000000,15.4,9.5,68.0,0.0,,30.0,9.0,18.5,1015.0,,4.0
1684620000000000000,13.4,9.4,77.0,0.0,,50.0,7.0,16.7,1015.0,,3.0
1684623600000000000,13.4,8.4,72.0,0.0,,40.0,11.0,16.7,1014.0,,4.0
1684627200000000000,13.4,8.4,72.0,0.0,,30.0,11.0,16.7,1014.0,,4.0
1684630800000000000,12.4,8.4,77.0,0.0,,50.0,9.0,16.7,1014.0,,4.0
1684634400000000000,12.4,8.4,77.0,0.0,,360.0,7.0,14.8,1014.0,,4.0
1684638000000000000,11.4,8.4,82.0,0.0,,290.0,7.0,13.0,1014.0,,4.0
1684641600000000000,10.4,8.5,88.0,0.0,,310.0,7.0,14.8,1014.0,,4.0
1684645200000000000,10.4,8.5,88.0,0.0,,310.0,7.0,14.8,1014.0,,4.0
1684648800000000000,12.4,9.4,82.0,0.0,,350.0,9.0,16.7,1014.0,,4.0
1684652400000000000,15.4,9.5,68.0,0.0,,360.0,9.0,16.7,1014.0,,4.0
1684656000000000000,16.4,10.4,68.0,0.0,,330.0,13.0,16.7,1014.0,,4.0
1684659600000000000,17.4,11.4,68.0,0.0,,330.0,11.0,18.5,1014.0,,4.0
1684663200000000000,18.4,11.4,64.0,0.0,,320.0,13.0,24.1,1014.0,,4.0
1684666800000000000,19.4,12.3,64.0,0.0,,360.0,11.0,24.1,1013.0,,4.0
1684670400000000000,21.4,12.4,57.0,0.0,,360.0,9.0,25.9,1013.0,,4.0
1684674000000000000,21.4,13.5,61.0,0.0,,360.0,13.0,25.9,1013.0,,3.0
1684677600000000000,22.4,14.4,61.0,0.0,,320.0,15.0,25.9,1013.0,,4.0
1684681200000000000,22.4,14.4,61.0,0.0,,320.0,15.0,27.8,1013.0,,4.0
1684684800000000000,22.4,13.4,57.0,1.0,,330.0,15.0,25.9,1013.0,,4.0
1684688400000000000,21.4,14.5,65.0,1.0,,300.0,17.0,24.1,1013.0,,4.0
1684692000000000000,20.4,14.5,69.0,0.1,,310.0,15.0,20.4,1013.0,,4.0
1684695600000000000,17.4,13.5,78.0,0.0,,310.0,7.0,20.4,1013.0,,4.0
1684699200000000000,15.4,13.4,88.0,0.0,,280.0,6.0,16.7,1014.0,,4.0
1684702800000000000,15.4,13.4,88.0,0.0,,300.0,9.0,16.7,1014.0,,4.0
1684706400000000000,14.6,12.6,88.0,0.0,,302.0,5.5,13.0,1014.3,,4.0
1684710000000000000,13.9,12.3,90.0,0.0,,309.0,5.5,13.0,1014.2,,4.0
1684713600000000000,13.1,12.0,93.0,0.0,,303.0,5.5,13.0,1014.3,,4.0
1684717200000000000,12.5,11.9,96.0,0.0,,305.0,5.5,13.0,1014.3,,4.0
1684720800000000000,12.0,11.4,96.0,0.0,,296.0,5.5,13.0,1014.4,,4.0
1684724400000000000,11.7,11.2,97.0,0.0,,296.0,5.5,11.1,1014.6,,4.0
1684728000000000000,11.9,11.4,97.0,0.0,,294.0,5.5,11.1,1014.7,,4.0
1684731600000000000,12.6,11.6,94.0,0.0,,297.0,5.5,11.1,1015.0,,4.0
1684735200000000000,16.9,12.4,75.0,0.0,,302.0,7.4,13.0,1015.4,,4.0
1684738800000000000,17.0,12.7,76.0,0.0,,304.0,9.3,14.8,1015.8,,4.0
1684742400000000000,17.3,13.2,77.0,0.0,,308.0,9.3,14.8,1016.0,,4.0
1684746000000000000,17.7,13.6,77.0,0.0,,307.0,11.1,14.8,1016.1,,4.0
1684749600000000000,18.0,13.9,77.0,0.0,,308.0,11.1,16.7,1016.1,,4.0
1684753200000000000,18.4,14.0,76.0,0.0,,307.0,13.0,18.5,1015.9,,4.0
1684756800000000000,19.0,14.4,75.0,0.0,,311.0,14.8,20.4,1015.8,,4.0
1684760400000000000,19.8,14.5,72.0,0.0,,315.0,14.8,22.2,1015.5,,4.0
1684764000000000000,20.2,14.7,71.0,0.0,,319.0,14.8,24.1,1015.3,,4.0
1684767600000000000,20.3,14.4,69.0,0.0,,322.0,16.7,24.1,1015.1,,4.0
1684771200000000000,20.0,14.3,70.0,0.0,,323.0,16.7,25.9,1015.1,,4.0
1684774800000000000,19.3,14.1,72.0,0.0,,326.0,14.8,25.9,1015.3,,4.0
1684778400000000000,18.5,13.7,74.0,0.0,,326.0,14.8,22.2,1015.6,,4.0
1684782000000000000,17.4,13.7,79.0,0.0,,322.0,13.0,22.2,1016.2,,4.0
1684785600000000000,16.0,13.3,84.0,0.0,,317.0,11.1,20.4,1016.9,,4.0
1684789200000000000,14.7,12.9,89.0,0.0,,317.0,11.1,18.5,1017.5,,4.0
1684792800000000000,14.0,12.4,90.0,0.0,,316.0,11.1,18.5,1017.8,,4.0
1684796400000000000,13.4,11.9,91.0,0.0,,318.0,9.3,16.7,1018.1,,4.0
1684800000000000000,13.1,11.6,91.0,0.0,,318.0,9.3,14.8,1018.3,,4.0
1684803600000000000,12.5,11.5,94.0,0.0,,319.0,9.3,14.8,1018.4,,4.0
1684807200000000000,12.2,10.8,91.0,0.0,,320.0,9.3,14.8,1018.5,,4.0
1684810800000000000,11.7,10.8,94.0,0.0,,318.0,9.3,13.0,1018.6,,4.0
1684814400000000000,11.7,10.6,93.0,0.0,,320.0,9.3,13.0,1018.8,,4.0
1684818000000000000,11.8,10.7,93.0,0.0,,325.0,9.3,14.8,1018.7,,4.0
1684821600000000000,14.7,10.9,78.0,0.0,,337.0,11.1,14.8,1018.9,,4.0
1684825200000000000,14.8,11.1,79.0,0.0,,346.0,11.1,16.7,1019.1,,4.0
1684828800000000000,15.0,11.1,78.0,0.0,,355.0,13.0,18.5,1019.4,,4.0
1684832400000000000,15.3,11.4,78.0,0.0,,355.0,14.8,20.4,1019.5,,4.0
